Date,Level,Volatility
1988-12-02,100,
1988-12-05,98.161141,
1988-12-06,99.098528,
1988-12-07,99.973233,
1988-12-08,99.148403,
1988-12-09,100.751392,
1988-12-12,101.288515,
1988-12-13,100.324496,
1988-12-14,102.158519,`
1988-12-15,102.731388,
1988-12-16,103.808495,
1988-12-19,102.707345,
1988-12-20,103.601288,
1988-12-21,104.311465,
1988-12-22,105.180621,
1988-12-23,106.003955,
1988-12-26,106.003955,
1988-12-27,107.020506,
1988-12-28,107.019368,
1988-12-29,106.002599,
1988-12-30,107.572481,
1989-01-02,107.572481,
1989-01-03,108.446766,
1989-01-04,107.705072,
1989-01-05,108.334556,
1989-01-06,108.331482,
1989-01-09,108.659854,
1989-01-10,108.489633,
1989-01-11,109.002612,
1989-01-12,109.424491,
1989-01-13,109.988658,
1989-01-16,109.984106,
1989-01-17,110.766731,
1989-01-18,113.351706,
1989-01-19,112.901899,
1989-01-20,111.831543,
1989-01-23,108.476896,
1989-01-24,109.249893,
1989-01-25,110.933625,
1989-01-26,109.266337,
1989-01-27,109.262561,
1989-01-30,107.981864,
1989-01-31,107.606674,
1989-02-01,108.731062,
1989-02-02,109.27592,
1989-02-03,108.446686,
1989-02-06,107.566271,
1989-02-07,108.285387,
1989-02-08,107.633632,
1989-02-09,107.150879,
1989-02-10,105.76451,
1989-02-13,106.762178,
1989-02-14,106.043206,
1989-02-15,108.422651,
1989-02-16,108.606672,
1989-02-17,109.057173,
1989-02-20,109.057173,
1989-02-21,108.770833,
1989-02-22,109.957126,
1989-02-23,110.142251,
1989-02-24,111.263691,15.88
1989-02-27,111.675084,15.31
1989-02-28,111.586967,15.25
1989-03-01,112.103446,15.19
1989-03-02,113.894987,15.3
1989-03-03,113.170209,15.13
1989-03-06,113.811147,15.14
1989-03-07,112.982865,15.07
1989-03-08,113.868635,14.74
1989-03-09,113.37243,14.77
1989-03-10,113.146035,14.68
1989-03-13,115.043655,14.78
1989-03-14,115.572513,14.73
1989-03-15,116.86566,14.82
1989-03-16,116.780861,14.76
1989-03-17,117.372052,14.73
1989-03-20,116.41187,14.86
1989-03-21,119.070933,15.39
1989-03-22,119.088292,15.39
1989-03-23,119.494098,15.21
1989-03-24,119.466085,14.99
1989-03-27,120.431918,15.04
1989-03-28,117.938617,15.69
1989-03-29,118.537651,15.61
1989-03-30,119.958158,15.73
1989-03-31,117.965075,16.17
1989-04-03,117.28244,16.24
1989-04-04,119.055142,16.47
1989-04-05,117.084718,16.87
1989-04-06,116.673996,16.89
1989-04-07,117.222214,16.88
1989-04-10,119.142786,17.17
1989-04-11,119.500371,17.13
1989-04-12,119.89381,16.52
1989-04-13,118.479181,16.7
1989-04-14,120.53074,16.89
1989-04-17,122.83983,15.94
1989-04-18,122.238325,15.97
1989-04-19,123.669553,15.85
1989-04-20,124.262047,15.46
1989-04-21,125.618454,15.56
1989-04-24,122.791995,16.13
1989-04-25,124.499901,16.27
1989-04-26,123.142818,16.41
1989-04-27,122.744752,16.43
1989-04-28,121.439118,16.52
1989-05-01,122.259091,16.41
1989-05-02,119.006889,17.43
1989-05-03,119.924568,17.4
1989-05-04,121.566068,17.52
1989-05-05,119.785136,17.59
1989-05-08,117.742756,17.95
1989-05-09,118.34097,17.88
1989-05-10,117.929918,17.4
1989-05-11,119.415072,17.55
1989-05-12,119.636934,17.54
1989-05-15,120.136125,17.55
1989-05-16,119.943286,17.54
1989-05-17,117.708105,17.92
1989-05-18,117.6829,17.92
1989-05-19,117.46658,17.83
1989-05-22,115.415192,18.22
1989-05-23,121.368224,20.87
1989-05-24,118.751023,21.4
1989-05-25,118.337406,21.19
1989-05-26,118.577891,21.14
1989-05-29,118.577891,21.11
1989-05-30,119.300298,21.08
1989-05-31,118.731994,21.06
1989-06-01,118.721069,21.03
1989-06-02,120.830976,21.3
1989-06-05,122.990439,21.34
1989-06-06,122.289056,21.37
1989-06-07,118.793401,22.12
1989-06-08,119.157015,22.13
1989-06-09,117.093863,22.41
1989-06-12,114.633373,22.76
1989-06-13,114.469786,22.26
1989-06-14,116.940806,22.71
1989-06-15,117.768843,22.75
1989-06-16,116.761533,22.82
1989-06-19,118.40551,22.94
1989-06-20,117.68519,22.57
1989-06-21,119.899727,22.87
1989-06-22,119.928987,22.74
1989-06-23,121.826355,22.69
1989-06-26,122.810566,22.7
1989-06-27,123.838867,22.57
1989-06-28,122.02213,22.51
1989-06-29,122.436343,22.5
1989-06-30,122.717549,22.48
1989-07-03,123.057233,22.26
1989-07-04,123.057233,22.25
1989-07-05,125.874424,22.7
1989-07-06,123.636065,22.88
1989-07-07,124.218595,22.64
1989-07-10,122.447816,22.51
1989-07-11,122.589333,22.49
1989-07-12,121.331532,22.45
1989-07-13,122.61282,22.54
1989-07-14,122.249926,22.43
1989-07-17,122.831631,21.96
1989-07-18,122.159262,21.8
1989-07-19,121.835671,21.69
1989-07-20,122.798093,21.74
1989-07-21,122.327947,21.65
1989-07-24,118.818334,22.41
1989-07-25,117.94751,21.77
1989-07-26,117.537777,21.72
1989-07-27,117.080835,21.54
1989-07-28,115.92016,21.42
1989-07-31,117.13533,21.25
1989-08-01,116.618387,21.25
1989-08-02,117.455173,21.29
1989-08-03,116.561092,21.18
1989-08-04,115.877623,21.2
1989-08-07,115.638258,21.18
1989-08-08,116.435945,21.24
1989-08-09,117.239633,20.94
1989-08-10,118.69759,21.1
1989-08-11,118.90318,21.09
1989-08-14,118.769278,20.77
1989-08-15,119.473659,18.03
1989-08-16,120.359142,17.53
1989-08-17,119.694141,17.55
1989-08-18,119.802135,17.55
1989-08-21,120.72643,17.62
1989-08-22,121.059311,17.58
1989-08-23,121.37215,17.56
1989-08-24,120.599657,17.61
1989-08-25,120.091801,17.26
1989-08-28,120.555315,16.88
1989-08-29,120.664571,16.84
1989-08-30,121.534131,15.8
1989-08-31,121.620256,15.79
1989-09-01,121.554586,15.35
1989-09-04,121.554586,14.66
1989-09-05,122.226513,14.68
1989-09-06,123.064392,14.11
1989-09-07,123.333543,14.06
1989-09-08,124.644483,14.06
1989-09-11,124.229336,13.83
1989-09-12,123.957436,13.77
1989-09-13,123.613562,13.28
1989-09-14,123.121938,13.31
1989-09-15,124.139063,13.03
1989-09-18,123.799204,12.94
1989-09-19,122.772758,12.94
1989-09-20,124.279803,12.82
1989-09-21,124.554467,12.81
1989-09-22,123.181071,13.01
1989-09-25,123.880532,13.05
1989-09-26,124.242898,13.06
1989-09-27,124.785968,12.23
1989-09-28,125.875124,11.79
1989-09-29,127.292325,11.96
1989-10-02,127.51459,11.56
1989-10-03,127.757396,11.57
1989-10-04,127.79223,11.34
1989-10-05,127.077916,11.23
1989-10-06,126.650111,11.24
1989-10-09,126.650111,11.21
1989-10-10,127.710493,11.25
1989-10-11,128.043226,11.23
1989-10-12,129.541655,11.36
1989-10-13,130.085908,11.33
1989-10-16,129.431917,9.53
1989-10-17,130.279802,9.41
1989-10-18,129.496126,9.48
1989-10-19,130.367112,9.47
1989-10-20,129.263506,9.4
1989-10-23,127.123698,9.96
1989-10-24,126.868568,9.91
1989-10-25,126.621488,9.86
1989-10-26,125.567555,9.89
1989-10-27,127.098388,10.02
1989-10-30,126.699079,10.04
1989-10-31,127.510102,10.03
1989-11-01,128.206573,10
1989-11-02,128.101303,9.75
1989-11-03,128.744404,9.78
1989-11-06,128.338059,9.81
1989-11-07,128.568815,9.77
1989-11-08,128.20717,9.72
1989-11-09,128.737703,9.64
1989-11-10,128.419774,9.67
1989-11-13,127.504884,9.72
1989-11-14,126.992644,9.76
1989-11-15,127.226287,9.76
1989-11-16,128.426919,9.8
1989-11-17,128.868771,9.75
1989-11-20,129.239216,9.74
1989-11-21,129.63194,9.75
1989-11-22,129.490405,9.68
1989-11-23,129.490405,9.68
1989-11-24,129.61677,9.67
1989-11-27,128.443368,9.89
1989-11-28,127.411035,10.01
1989-11-29,128.011595,9.97
1989-11-30,129.573657,10.24
1989-12-01,130.940468,10.23
1989-12-04,130.094673,10.31
1989-12-05,130.544266,10.3
1989-12-06,131.29463,10.32
1989-12-07,131.309487,10.27
1989-12-08,131.536752,10.17
1989-12-11,131.831787,10.14
1989-12-12,131.28225,10.01
1989-12-13,130.924175,9.77
1989-12-14,131.315035,9.77
1989-12-15,132.472544,9.58
1989-12-18,133.757668,9.69
1989-12-19,133.416405,9.72
1989-12-20,132.601806,9.81
1989-12-21,133.871786,9.84
1989-12-22,133.119893,9.7
1989-12-25,133.119893,9.7
1989-12-26,134.997277,10.07
1989-12-27,135.125046,10.07
1989-12-28,134.230279,10.1
1989-12-29,135.788384,10.29
